x,y,theta
-0.1028,0.2126,-0.05
-0.1257,0.1963,-0.01
-0.1107,0.1617,0.06
-0.0801,0.1719,0.07
-0.101,0.184,-0.01
-0.141,0.1656,-0.04
-0.1038,0.1436,0
-0.0759,0.1552,-0.01
-0.0765,0.1755,-0.04
-0.1045,0.1785,-0.01
-0.1262,0.1824,0.04
-0.1017,0.1884,0.02
-0.0889,0.1789,-0.03
-0.1101,0.1689,-0.06
-0.1355,0.1857,-0.01
-0.1225,0.2045,-0.02
-0.0953,0.1729,-0.04
-0.1172,0.1417,-0.02
-0.1412,0.143,0.05
-0.1396,0.1687,0.05
-0.1313,0.1627,-0.05
-0.1562,0.1288,-0.03
-0.1704,0.1369,0.02
-0.1658,0.168,0.04
-0.1563,0.1678,0
-0.172,0.1429,0
-0.1843,0.1393,0.05
-0.1782,0.1785,0.05
-0.1651,0.1781,-0.02
-0.1738,0.146,-0.02
-0.1744,0.1476,0.06
-0.1626,0.184,0.05
-0.1533,0.186,-0.04
-0.1455,0.1397,-0.04
-0.1302,0.1104,0.05
-0.1186,0.1375,0.07
-0.1316,0.1437,0.01
-0.1528,0.1045,-0.09
-0.1589,0.0945,0
-0.1277,0.1136,0.07
-0.1207,0.1221,0.02
-0.156,0.1071,0
-0.1556,0.1057,0.04
-0.1365,0.1395,0.04
-0.1324,0.1527,0.01
-0.1703,0.1471,-0.01
-0.1732,0.1287,-0.02
-0.1573,0.0618,-0.01
-0.133,0.0351,-0.03
-0.1389,0.0453,-0.02
-0.1453,0.0643,0.01
-0.1621,0.0477,-0.01
-0.1658,0.0124,0.01
-0.1674,-0.0017,0.04
-0.1533,0.0338,0.04
-0.1583,0.04,0
-0.1667,-0.0014,-0.06
-0.1893,-0.0189,-0.05
-0.1761,0.0174,-0.02
-0.1811,0.0358,-0.06
-0.1891,0.0022,-0.09
-0.1936,-0.0267,-0.05
-0.1848,-0.01,0.02
-0.1647,0.0442,0.03
-0.1672,0.0304,-0.02
-0.1661,-0.0275,-0.01
-0.1804,-0.053,0.02
-0.1894,-0.0389,0.1
-0.1927,-0.0257,0
-0.192,-0.0616,-0.08
-0.2032,-0.0887,-0.02
-0.2068,-0.0783,0.05
-0.1934,-0.038,0.01
-0.1821,-0.0399,-0.07
-0.1887,-0.0689,-0.02
-0.2093,-0.0809,0.03
-0.2019,-0.061,0.05
-0.1972,-0.0623,0
-0.2072,-0.0709,0.02
-0.218,-0.0907,0.08
-0.2323,-0.0876,0.06
-0.2063,-0.0738,-0.03
-0.1965,-0.0856,-0.04
-0.1966,-0.1028,0.04
-0.2158,-0.1052,0.05
-0.2305,-0.1192,-0.03
-0.2155,-0.1334,-0.12
-0.1885,-0.1299,-0.04
-0.1834,-0.1015,0.01
-0.2096,-0.0909,0.02
-0.2156,-0.1132,-0.03
-0.1891,-0.1181,-0.05
-0.193,-0.0904,-0.01
-0.2153,-0.0729,0.02
-0.2074,-0.1109,0.02
-0.1903,-0.1489,-0.04
-0.1868,-0.1044,-0.08
-0.2031,-0.0799,-0.09
-0.1894,-0.1068,-0.09
-0.1646,-0.1571,-0.07
-0.1644,-0.1381,-0.02
-0.1832,-0.1107,0
