X,Y,theta
0.5023,0.3676,-0.09
0.4925,0.3776,-0.09
0.4811,0.3853,-0.09
0.473,0.3939,-0.09
0.4658,0.4029,-0.09
0.4562,0.4135,-0.09
0.4482,0.4206,-0.09
0.4404,0.4309,-0.09
0.4308,0.443,-0.09
0.4203,0.4512,-0.08
0.4102,0.4599,-0.08
0.4036,0.4668,-0.08
0.3979,0.4739,-0.08
0.3916,0.4831,-0.08
0.3813,0.4901,-0.08
0.3713,0.5007,-0.08
0.3628,0.511,-0.08
0.3558,0.5178,-0.07
0.3483,0.5238,-0.07
0.3414,0.5326,-0.07
0.3325,0.543,-0.07
0.3237,0.5513,-0.07
0.3153,0.5562,-0.06
0.3097,0.562,-0.06
0.3041,0.5712,-0.06
0.2958,0.5775,-0.05
0.2397,0.5821,-0.05
0.2345,0.5881,-0.05
0.2284,0.5955,-0.05
0.2204,0.6011,-0.05
0.2132,0.6056,-0.04
0.2052,0.6082,-0.04
0.2002,0.6114,-0.04
0.1943,0.6148,-0.04
0.1866,0.6184,-0.03
0.1756,0.6208,-0.03
0.1665,0.6251,-0.03
0.157,0.6304,-0.03
0.1483,0.6337,-0.03
0.1405,0.6372,-0.03
0.1328,0.6396,-0.02
0.1269,0.6417,-0.02
0.1164,0.6441,-0.02
0.1046,0.6466,-0.01
0.0973,0.6492,-0.01
0.0911,0.6528,-0.01
