1,2,3,4
-64.481,-7.571,-71.341,1.98
-68.083,-16.142,-52.373,-4.18
-68.313,-6.424,-48.43,-13.8
-65.647,5.628,-51.438,-8.91
-69.415,0.994,-59.324,0.9
-70.597,-9.613,-62.206,-9.72
-70.469,0.282,-54.782,-15.16
-69.075,7.163,-56.108,-5.33
-71.467,-1.327,-60.609,0.09
-73.146,-11.853,-66.116,-11.67
-72.078,-2.584,-64.939,-16.87
-70.743,9.962,-61.307,-8.08
-71.149,3.308,-62.623,4.3
-72.266,-9.31,-66.912,-4.34
-71.608,0.366,-70.58,-12.26
-67.532,10.991,-53.567,-1
-66.258,5.489,-50.323,9.81
-67.533,-5.514,-53.881,2.65
-69.153,2.56,-60.608,-7.41
-63.712,12.115,-59.026,4.52
-56.82,3.409,-53.29,14.52
-55.745,-7.693,-53.5,6.31
-59.958,-1.917,-60.497,-2.48
-63.98,10.223,-64.994,8.42
-57.181,1.245,-56.62,16.87
-48.382,-10.785,-45.575,7.17
-47.083,-3.494,-47.438,-5.93
-54.217,9.001,-56.621,3.8
-59.214,-0.163,-60.708,13.13
-50.884,-10.57,-45.545,5.07
-45.736,-3.04,-42.696,-6.19
-50.865,10.734,-51.536,4.89
-54.097,2.873,-54.582,13.55
-42.715,-6.867,-41.362,2.82
-29.469,0.415,-40.981,-9.24
-30.088,13.165,-49.279,-2.04
-38.966,3.414,-52.994,8.84
-41.23,-6.706,-35.698,-2.22
-34.497,1.416,-27.632,-11.52
-33.857,11.148,-28.912,-2.05
-40.444,0.552,-42.614,7.56
-46.481,-9.699,-47.522,-3.01
-38.371,-2.538,-35.129,-11.61
-28.3,7.899,-25.608,-3.36
-31.172,-2.314,-31.397,8.1
-36.229,-12.842,-40.804,-2.27
-39.886,-6.297,-37.436,-10.42
-38.899,10.893,-31.98,-2.77
-42.029,24.359,-36.306,14.16
-50.9,16.467,-47.104,20.82
-49.675,13.613,-49.206,15.94
-33.535,21.465,-37.145,24.82
-31.304,33.439,-31.602,34.69
-40.117,27.466,-38.688,36.72
-47.186,17.372,-44.795,23.36
-35.054,20.692,-35.427,25.67
-25.882,30,-30.551,37.45
-25.234,39.07,-35.306,42.64
-35.303,29.31,-44.647,34.32
-41.459,21.283,-45.055,37.78
-31.67,25.454,-30.241,46.01
-27.65,37.663,-30.815,46.95
-34.646,43.976,-43.817,43.72
-41.902,29.401,-49.314,48.17
-31.485,30.008,-32.484,56.46
-20.261,37.711,-19.773,60.03
-23.33,51.452,-25.921,62.5
-34.231,53.392,-36.277,68.38
-33.456,46.635,-35.026,71.75
-22.286,48.204,-23.102,72.85
-22.817,58.874,-24.938,71.23
-33.525,66.54,-32.966,75.33
-34.822,62.219,-32.801,78.02
-24.522,47.871,-28.121,79.31
-22.948,40.612,-32.218,76.22
-31.021,49.535,-39.702,78.6
-38.731,57.75,-32.415,82.1
-29.25,60.099,-21.128,81.29
-20.1,48.566,-26.676,76.59
-24.025,44.959,-34.549,77.27
-31.888,52.365,-34.083,80.49
-28.48,58.492,-19.88,81.37
-13.618,48.088,-21.794,61.51
-17.04,38.858,-27.234,56.81
-24.607,43.609,-16.078,61.67
-16.652,53.349,-0.7,66.78
-0.763,56.318,-4.286,64.45
-2.732,54.582,-15.261,52.9
-11.607,59.511,-7.919,50.73
-2.205,65.294,3.896,58.53
-0.828,59.895,-5.921,64.92
-9.718,54.12,-15.766,49.86
-20.947,58.376,-7.837,49.13
-8.831,65.291,4.573,55.34
3.117,64.268,-1.479,59.76
-0.77,58.906,-13.179,43.35
-10.128,61.632,-2.042,35.59
0.14,64.694,10.545,39.24
10.662,57.149,-0.219,47.47
2.989,55.316,-10.837,48.17
-8.194,62.723,-3.432,47.2
-4.162,63.602,5.877,53.46
8.649,49.769,-0.1,56.22
3.996,38.717,-10.598,45.48
-6.684,38.633,-3.03,44.02
-1.198,45.599,7.596,51.58
12.094,55.191,-3.806,56.94
1.182,44.414,-13.698,51.81
-9.94,33.923,-4.448,42.48
-6.358,33.928,9.396,44.46
8.024,44.267,1.505,55.03
0.83,52.227,-9.961,54.26
-1.508,40.853,1.034,37.91
8.452,36.217,10.379,38.25
19.996,44.209,4.227,48.5
8.12,51.873,2.381,50.84
-3.729,41.547,13.781,39.64
0.817,38.93,22.745,39.52
11.677,47.281,9.572,49.45
1.936,54.088,-0.541,53.21
-3.138,41.381,5.925,41.04
3.072,40.137,15.862,42.53
14.023,51.079,4.81,52.97
7.435,56.254,-5.213,56.4
-3.886,40.29,1.864,42.32
1.816,34.419,11.67,29.69
14.264,39.302,4.072,33.08
10.011,49.808,-2.061,44.66
-0.639,49.393,6.524,50.08
3.31,35.589,18.29,34.9
17.896,32.019,23.153,26.89
29.786,40.785,21.227,32.15
22.349,47.85,29.904,39.87
24.701,36.328,37.368,38.63
33.25,25.338,28.167,27.68
44.817,27.076,29.318,30.1
44.694,38.967,37.193,38.36
25.639,47.236,45.417,42.78
25.548,33.589,33.344,32.5
35.396,33.403,34.246,34.67
44.626,39.742,43.24,40.39
33.178,49.123,47.607,46.73
33.516,34.348,32.092,36.09
41.723,33.231,29.643,34.33
48.982,41.552,37.683,40.27
49.777,46.171,47.852,40.96
53.596,30.321,48.306,30.59
58.535,29.175,45.596,33.02
64.356,37.583,49.086,36.27
54.898,36.915,57.265,26.59
51.059,25.859,61.061,21.41
55.76,25.222,59.096,26.88
61.368,34.898,59.301,31.92
64.07,37.114,64.637,19.46
62.257,23.83,66.667,16.27
64.519,25.563,55.905,24.84
69.736,35.241,52.523,31.21
71.737,34.937,58.289,20.5
58.189,23.185,63.556,15.73
50.19,22.336,64.336,21.71
